geo_hash, rel_nfnv_prod_count,fnv_prod_count,prod_count,stores_count,sub_cat_count
tdr0uvk,317,166,2853,1,212
tdr0uvm,317,166,2853,1,212
tdr0uvn,317,166,2853,1,212
tdr0uvp,317,166,2853,1,212
tdr0uvq,317,166,2853,1,212
tdr0uvr,317,166,2853,1,212
tdr0uvs,317,166,2853,1,212
tdr0uvt,317,166,2853,1,212
tdr0uvu,317,166,2853,1,212
tdr0uvv,317,166,2853,1,212
tdr0uvw,317,166,2853,1,212
tdr0uvx,317,166,2853,1,212
tdr0uvy,317,166,2853,1,212
tdr0uvz,317,166,2853,1,212
tdr0uw0,248,137,3151,1,206
tdr0uw1,248,137,3151,1,206
tdr0uw2,248,137,3151,1,206
tdr0uw3,248,137,3151,1,206
tdr0uw4,248,137,3151,1,206
tdr0uw5,248,137,3151,1,206
tdr0uw6,248,137,3151,1,206
tdr0uw7,317,166,2853,1,212
tdr0uw8,248,137,3151,1,206
tdr0uw9,248,137,3151,1,206
tdr0uwb,248,137,3151,1,206
tdr0uwc,317,166,2853,1,212
tdr0uwd,317,166,2853,1,212
tdr0uwe,317,166,2853,1,212
tdr0uwf,317,166,2853,1,212
tdr0uwg,317,166,2853,1,212
tdr0uwh,317,166,2853,1,212
tdr0uwj,317,166,2853,1,212
tdr0uwk,317,166,2853,1,212
tdr0uwm,317,166,2853,1,212
tdr0uwn,317,166,2853,1,212
tdr0uwp,317,166,2853,1,212
tdr0uwq,317,166,2853,1,212
tdr0uwr,317,166,2853,1,212
tdr0uws,317,166,2853,1,212
tdr0uwt,317,166,2853,1,212
tdr0uwu,317,166,2853,1,212
tdr0uwv,317,166,2853,1,212
tdr0uww,317,166,2853,1,212
tdr0uwx,317,166,2853,1,212
tdr0uwy,317,166,2853,1,212
tdr0uwz,317,166,2853,1,212
tdr0ux0,317,166,2853,1,212
tdr0ux1,317,166,2853,1,212
tdr0ux2,317,166,2853,1,212
tdr0ux3,317,166,2853,1,212
tdr0ux4,317,166,2853,1,212
tdr0ux5,317,166,2853,1,212
tdr0ux6,317,166,2853,1,212
tdr0ux7,317,166,2853,1,212
tdr0ux8,317,166,2853,1,212
tdr0ux9,317,166,2853,1,212
tdr0uxb,317,166,2853,1,212
tdr0uxc,317,166,2853,1,212
tdr0uxd,317,166,2853,1,212
tdr0uxe,317,166,2853,1,212
tdr0uxf,317,166,2853,1,212
tdr0uxg,317,166,2853,1,212
tdr0uxh,317,166,2853,1,212
tdr0uxj,317,166,2853,1,212
tdr0uxk,317,166,2853,1,212
tdr0uxm,317,166,2853,1,212
tdr0uxn,317,166,2853,1,212
tdr0uxp,317,166,2853,1,212
tdr0uxq,317,166,2853,1,212
tdr0uxr,317,166,2853,1,212
