sub_cat_count,product_count,stores,stores_count
129,2057,100016-100019,2
141,3408,100019-100091,2
148,2700,100010-100014,2
132,2746,100010-100015,2
152,4731,100014-100015-100101,3
149,3064,100011-100091,2
158,3688,100014-100093,2
134,2372,100011-100092,2
134,2948,100008-100091,2
149,3002,100008-100093,2
136,2407,100008-100092,2
153,2968,100011-100093,2
149,3984,100091-100093,2
139,2441,100008-100014,2
149,3551,100014-100091,2
165,4739,100091-100092-100093,3
148,2438,100011-100014,2
150,3479,100008-100014-100092,3
150,3463,100014-100083,2
165,4784,100014-100091-100093,3
142,4160,100005-100092,2
137,3189,100041-100092,2
148,3210,100010-100093,2
130,1883,100008-100010,2
151,3945,100014-100015-100092,3
154,3559,100011-100014-100092,3
128,3272,100005,1
81,1652,100041,1
143,4397,100005-100041,2
166,4515,100011-100091-100093,3
155,4359,100008-100091-100093,3
133,3254,100007,1
160,5091,100005-100007,2
158,4511,100007-100041,2
143,4225,100005-100014,2
150,3318,100014-100041,2
154,3937,100014-100017-100092,3
154,2959,100008-100011-100014,3
130,1780,100010-100011,2
139,3748,100005-100008,2
139,2363,100008-100041,2
141,3745,100005-100011,2
88,2078,100011-100041,2
154,4717,100015-100092-100101,3
159,4552,100010-100014-100101,3
85,2063,100011-100043,2
141,3758,100010-100101,2
138,1440,100003-100008-100011,3
165,3644,100008-100011-100036,3
148,2439,100008-100045,2
154,3194,100008-100036,2
109,844,100003-100008,2
138,2350,100008-100043,2
145,2751,100008-100011-100043,3
160,3200,100011-100036,2
152,4820,100005-100008-100041,3
141,3069,100038,1
81,1637,100051,1
81,1888,100043-100051,2
147,2714,100036,1
82,1550,100050,1
82,1849,100050-100051,2
146,4575,100005-100091,2
150,3866,100041-100091,2
161,5201,100008-100083-100091-100093,4
163,4346,100011-100083-100091,3
167,4655,100008-100011-100083-100091,4
149,3861,100043-100091,2
162,3350,100008-100011-100083,3
149,3720,100043-100093,2
156,4919,100083-100091-100093,3
146,4867,100005-100038,2
154,4358,100038-100041,2
153,4658,100005-100036,2
153,4577,100005-100093,2
150,3726,100041-100093,2
155,3507,100008-100011-100091,3
169,4857,100008-100011-100091-100093,4
164,3515,100008-100011-100093,3
151,4131,100008-100083-100091,3
152,3924,100083-100093,2
146,2760,100008-100011-100041,3
164,5170,100041-100091-100093,3
162,5492,100005-100091-100093,3
167,5477,100008-100041-100091-100093,4
126,3179,100006,1
147,4720,100005-100011-100041,3
116,2198,100094,1
142,4390,100005-100043,2
81,1903,100041-100043,2
143,4587,100005-100041-100043,3
160,4645,100008-100011-100041-100091,4
171,6655,100005-100008-100041-100091-100093,5
160,3946,100036-100041,2
155,4266,100008-100041-100091,3
163,5642,100005-100036-100041,3
165,5746,100005-100008-100091-100093,4
152,4885,100005-100008-100091,3
162,5892,100005-100008-100041-100091,4
161,4220,100008-100041-100093,3
146,4230,100038-100094,2
131,2570,100010-100041,2
143,3812,100005-100010,2
82,1366,100046,1
155,4096,100038-100046,2
148,3642,100012-100046,2
160,4940,100005-100008-100093,3
166,5890,100005-100008-100041-100093,4
162,3807,100007-100011,2
113,2558,100012,1
150,3771,100007-100008,2
155,4557,100007-100093,2
144,4526,100012-100038,2
133,3509,100003-100035-100045-100063,4
112,3118,100035-100052,2
109,1615,100003-100063,2
116,2044,100003-100045-100063,3
133,3632,100003-100035-100042-100045-100063,5
133,3586,100003-100035-100042-100044-100045,5
133,3426,100003-100035-100044-100045,4
133,3541,100003-100035-100042-100045,4
132,3628,100035-100042-100045-100063,4
132,3582,100035-100042-100044-100045,4
145,4819,100006-100038,2
80,1770,100044-100052,2
144,3417,100044-100100,2
121,2228,100003-100100,2
84,1716,100003-100042-100098,3
153,3647,100045-100098-100100,3
115,1752,100003-100045-100098,3
121,2228,100003-100098-100100,3
145,3669,100042-100100,2
119,2224,100098-100100,2
78,1560,100052-100098,2
114,1748,100045-100098,2
2,4,100003-100098,2
115,2193,100042-100043-100045,3
116,2197,100003-100042-100043-100045,4
145,3669,100042-100098-100100,3
133,3616,100035-100100,2
83,1712,100042-100098,2
118,1716,100032,1
80,1689,100055,1
157,3819,100004-100052,2
131,3152,100035-100063-100098,3
114,3014,100035-100044-100098,3
115,3252,100035-100042-100098,3
