"product_id","vertical_id","bar_code","brand","name","variety","quantity","quantity_qualifier","packaged_quantity","packaged_quantity_qualifier","discount","expiry_date","frag_flav_scent","fulfillment_tag","offer_percentage","offer_text","offer_value","product_display_order","seed_seedless","seller_name","state","type_by_colour","type_by_organic","type_by_pesticide","type_by_state_of_product","type_of_packing","vat_pcnt","mrp","ola_selling_price","primary_category_path","secondary_category_path","image_url","product_status"
"VGTDUI6UUU7F","vegetable",,,"Raw Banana",,"500","gm","(3 to 5 pcs)",,,,,"Other Vegetables",,,,"1",,,,"Green",,,,,,"25","25","Fruits & Vegetables>Fresh Vegetables>Other Vegetables",,"https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSczJKvGtjv9slEKyVVNT5ZoXENAF9j71kSOFqdTE8eDsX53kS4","current"
"VGTYVYXY1BAF","vegetable",,,"Brinjal","Long","500","gm","(5 to 7 pcs)",,,,,"Other Vegetables",,,,"1",,,,"Violet",,,,,,"25","25","Fruits & Vegetables>Fresh Vegetables>Other Vegetables",,"http://www.cartonwheels.com/image/cache/data/vegetables/BRINJAL%20LONG%20VIOLET-500x500.jpg","current"
"VGT12X8N86PV","vegetable",,,"Brinjal",,"500","gm",,,,,,"Other Vegetables",,,,"1",,,,"White",,,,,,"12","12","Fruits & Vegetables>Fresh Vegetables>Other Vegetables",,"https://myhometastes.files.wordpress.com/2011/03/37196_159317244100341_100000661995222_358266_2146795_n.jpg","current"
"VGTV3OEKI16B","vegetable",,,"Spring Onion",,"250","gm",,,,,,"Leafy Vegetables",,,,"0",,,,,,,,,,"25","25","Fruits & Vegetables>Fresh Vegetables>Leafy Vegetables",,"http://cdn.vkool.com/wp-content/uploads/2015/02/small-spring-onion-%E2%80%93-scallion.jpg","current"
"VGTB4ZUXVVNF","vegetable",,,"Tomato","Hybrid","500","gm","(6 to 10 pcs)",,,,,"Tomato",,,,"1",,,,,,,,,,"5","5","Fruits & Vegetables>Fresh Vegetables>Potato, Onion & Tomato",,"http://samyer.com/wp-content/uploads/2012/08/web-dyna-582.jpg","hidden"
"VGTI5QAUAFPW","vegetable",,,"Sprouts","Mixed Gram","250","gm",,,,,,"Other Vegetables",,,,"1",,,,,,,,,,"25","25","Fruits & Vegetables>Fresh Vegetables>Other Vegetables",,"http://lh4.ggpht.com/_OGMa3JuKVTk/TDaF62AqFBI/AAAAAAAAD6s/J04hTow0ZRg/sprouts1_thumb%5B2%5D.jpg","current"
"VGTWAZBDUOF7","vegetable",,,"Spring Onion",,"100","gm",,,,,,"Leafy Vegetables",,,,"1",,,,,,,,,,"10","10","Fruits & Vegetables>Fresh Vegetables>Leafy Vegetables",,"http://cdn.vkool.com/wp-content/uploads/2015/02/small-spring-onion-%E2%80%93-scallion.jpg","current"
"VGTG3QD0280M","vegetable",,,"Basale Leaf",,"100","gm",,,,,,"Leafy Vegetables",,,,"0",,,,,,,,,,"6","6","Fruits & Vegetables>Fresh Vegetables>Leafy Vegetables",,"http://bigbasket.com/media/uploads/p/l/20000755_7-fresho-basale-leaf.jpg","hidden"
"VGT6DOZ69CFS","vegetable",,,"Onion",,"500","gm",,,,,,"Onion",,,,"1",,,,"White",,,,,,"50","50","Fruits & Vegetables>Fresh Vegetables>Potato, Onion & Tomato",,"http://www.justysproduce.com/images/white_onions.jpg","current"
"VGT0BADLZ5RT","vegetable",,,"Palak",,"500","gm",,,,,,"Leafy Vegetables",,,,"2",,,,"Green",,,,,,"25","25","Fruits & Vegetables>Fresh Vegetables>Leafy Vegetables",,"http://gnan.in/wp-content/uploads/2014/05/spinach.jpg","current"
"VGT0CUF0GPXQ","vegetable",,,"Lettuce",,"500","gm",,,,,,"Exotic Vegetables",,,,"2",,,,"Red",,,,,,"70","70","Fruits & Vegetables>Fresh Vegetables>Exotic Vegetables",,"http://www.nutritionhealthconnection.com/images/Leafy-Greens/Red-Leaf-Lettuce-Main.jpg","current"
"VGT4D905MDXF","vegetable",,,"Tomato","Country","500","gm","(6 to 10 pcs)",,,,,"Tomato",,,,"1",,,,,,,,,,"8","8","Fruits & Vegetables>Fresh Vegetables>Potato, Onion & Tomato",,"https://www.agra-net.net/agra/incoming/article468587.ece/ALTERNATES/w620/tomatoes+on+white_65233660.jpg","current"
"FJCGKYR4K4WG","fruit",,,"Water Melon","Kiran","2","Kg",,,,,,"Melon",,,,"2",,,,,,,,,,"60","60","Fruits & Vegetables>Fresh Fruits>Melon",,"http://cdn.shopify.com/s/files/1/0742/8027/products/watermelon_large.jpg?v=1421065191","hidden"
"FJCBUQRKZFP6","fruit",,,"Orange","Imported","1","Kg","(4 to 6 pcs)",,,,,"Orange & Sweet Lime",,,,"1",,,,,,,,,,"150","150","Fruits & Vegetables>Fresh Fruits>Orange & Sweet Lime",,"http://cdn2.bigcommerce.com/server1400/84506/products/189/images/229/000553__19536.1409991185.1280.1280.JPG?c=2","current"
"VGT8TALZ4RL2","vegetable",,,"Sprouts","Mixed Gram","500","gm",,,,,,"Other Vegetables",,,,"2",,,,,,,,,,"50","50","Fruits & Vegetables>Fresh Vegetables>Other Vegetables",,"http://lh4.ggpht.com/_OGMa3JuKVTk/TDaF62AqFBI/AAAAAAAAD6s/J04hTow0ZRg/sprouts1_thumb%5B2%5D.jpg","current"
"OVGZVRYRWM2I","organic_vegetable",,,"Garlic",,"100","gm",,,,,,"Organic Vegetables",,,,"0",,,,,"Organic",,,,,"16","16","Fruits & Vegetables>Organic Vegetables",,"http://garlicoleoresin.com/images/main.jpg","current"
"FJCJNFSQEQWZ","fruit",,,"Mango","Neelam","250","gm","(1 to 2 pcs)",,,,,"Mango",,,,"2",,,,,,,,,,"25","25","Fruits & Vegetables>Fresh Fruits>Mango",,"http://img.21food.com/20110609/product/1305249523875.jpg","hidden"
"OVGBELTJ760I","organic_vegetable",,,"Celery",,"500","gm",,,,,,"Organic Vegetables",,,,"2",,,,,"Organic",,,,,"0","0","Fruits & Vegetables>Organic Vegetables",,"http://img.webmd.com/dtmcms/live/webmd/consumer_assets/site_images/articles/health_tools/organic_produce_slideshow/istock_photo_of_celery.jpg","hidden"
"CVG8MKZMWE4O","cut_vegetable",,,"Radish",,"250","gm",,,,,,"Cut Vegetables",,,,"0",,,,"Red",,,"Sliced",,,"15","15","Fruits & Vegetables>Cut Vegetables",,"https://d2gg9evh47fn9z.cloudfront.net/thumb_COLOURBOX1283018.jpg","hidden"
"VGTZ1781O4Y4","vegetable",,,"Beans Sprouts",,"1","Kg",,,,,,"Other Vegetables",,,,"2",,,,,,,,,,"175","175","Fruits & Vegetables>Fresh Vegetables>Other Vegetables",,"http://wholefoodcatalog.com/food_img/x-large/6287.jpg","current"
"VGTHUTLYTXZ1","vegetable",,,"Pumpkin (kaddu)","Mangalore","1","Kg",,,,,,"Other Vegetables",,,,"2",,,,,,,,,,"30","30","Fruits & Vegetables>Fresh Vegetables>Other Vegetables",,"http://gogreenfarmfresh.com/images/detailed/0/pumpkin.jpg","current"
"VGTXARA6UN5N","vegetable",,,"Yam",,"1","Kg",,,,,,"Other Vegetables",,,,"1",,,,,,,,,,"60","60","Fruits & Vegetables>Fresh Vegetables>Other Vegetables",,"http://cdn.sheknows.com/articles/crave/sweetpotato.jpg","current"
"VGTD0L3B0TO9","vegetable",,,"Potato","Baby","1","Kg",,,,,,"Exotic Vegetables",,,,"2",,,,,,,,,,"40","40","Fruits & Vegetables>Fresh Vegetables>Exotic Vegetables",,"http://www.delmonte.ph/sites/default/files/image/kitchenomics/ingredients/main_image/main_baby-potato.png","current"
"CVG90UL7AVOM","cut_vegetable",,,"Cucumber (kheera)","American","500","gm",,,,,,"Cut Vegetables",,,,"2",,,,,,,"Sliced",,,,,"Fruits & Vegetables>Cut Vegetables",,"http://www.foodsafetynews.com/files/2013/05/SlicedCucumberMain1.jpg","hidden"
"VGTTMHLJDRT4","vegetable",,,"Ginger",,"1","Kg",,,,,,"Ginger",,,,"3",,,,,,,,,,"129","129","Fruits & Vegetables>Fresh Vegetables>Chilli, Lemon, Garlic & Ginger",,"https://www.organicfacts.net/wp-content/uploads/2013/05/Ginger21.jpg","current"
"VGTXAX4412DQ","vegetable",,,"Coriander",,"100","gm",,,,,,"Leafy Vegetables",,,,"0",,,,,,,,,,"7","7","Fruits & Vegetables>Fresh Vegetables>Leafy Vegetables",,"https://www.organicfacts.net/wp-content/uploads/2013/05/Coriander11.jpg?bcd87c","current"
"OVGU54CFW8WI","organic_vegetable",,,"Tomato",,"500","gm","(6 to 10 pcs)",,,,,"Organic Vegetables",,,,"1",,,,,"Organic",,,,,"0","0","Fruits & Vegetables>Organic Vegetables",,"https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTxxw45wjxEdmSnKtC4x7RmQD7_z34rJ-UrQ0YnSFTa1Zo_g-rlcg","hidden"
"FJCOHN77DLVN","fruit",,,"Mango","Malgova","1","Kg","(5 to 8 pcs)",,,,,"Mango",,,,"1",,,,,,,,,,"120","120","Fruits & Vegetables>Fresh Fruits>Mango",,"http://3.imimg.com/data3/EJ/NL/MY-10152612/malgova-mangoes-250x250.png","hidden"
"FJCXJ8OJK7U8","fruit",,,"Pear",,"250","gm",,,,,,"Others",,,,"1",,,,,,,,,,"45","45","Fruits & Vegetables>Fresh Fruits>Others",,"https://www.organicfacts.net/wp-content/uploads/2013/05/Pear2.jpg","current"
"VGTDHAY7M7ZJ","vegetable",,,"Zucchini",,"250","gm","(1 to 2 pcs)",,,,,"Exotic Vegetables",,,,"0",,,,"Green",,,,,,"28","28","Fruits & Vegetables>Fresh Vegetables>Exotic Vegetables",,"http://blogdamimis.com.br/wp-content/uploads/2013/10/blog_zucchini.jpg","current"
"VGTPOWBPS5MI","vegetable",,,"Lettuce","Oak","250","gm",,,,,,"Exotic Vegetables",,,,"1",,,,"Red",,,,,,"18","18","Fruits & Vegetables>Fresh Vegetables>Exotic Vegetables",,"http://gothamgreens.com/img/produce/Large_new/RedLeafLettuce-00.jpg","current"
"OVGQVBXBE1BJ","organic_vegetable",,,"Beans","Cluster","500","gm",,,,,,"Organic Vegetables",,,,"1",,,,,"Organic",,,,,"28","28","Fruits & Vegetables>Organic Vegetables",,"http://fresh.delfoo.com/image/cache/catalog/Vegetable/cluster-bean-gowarp-500x400.jpg","current"
"VGTIPIEDTPM4","vegetable",,,"Lettuce",,"250","gm",,,,,,"Exotic Vegetables",,,,"1",,,,"Green",,,,,,"40","40","Fruits & Vegetables>Fresh Vegetables>Exotic Vegetables",,"http://gothamgreens.com/img/produce/Large_new/GreenLeafLettuce-00.jpg","current"
"VGTJEEDM8ZZ8","vegetable",,,"Tomato","Premium","2","Kg","(16 to 24 pcs)",,,,,"Tomato",,,,"3",,,,,,,,,,"72","72","Fruits & Vegetables>Fresh Vegetables>Potato, Onion & Tomato",,"http://www.subzioncall.com/media/catalog/product/cache/1/image/600x600/9df78eab33525d08d6e5fb8d27136e95/p/r/premium2.jpg","current"
"CFRWXKRS80HN","cut_fruit",,,"Water Melon",,"500","gm",,,,,,"Cut Fruits",,,,"1",,,,,,,"Diced",,,"14","14","Fruits & Vegetables>Cut Fruits",,"http://www.womenshealthmag.com/files/images/1007-us-your-melon.jpg","current"
"CFRMQ6JH0JX0","cut_fruit",,,"Muskmelon",,"500","gm",,,,,,"Cut Fruits",,,,"1",,,,,,,"Diced",,,"28","28","Fruits & Vegetables>Cut Fruits",,"http://bigbasket.com/media/uploads/p/l/40005854_6-fresho-muskmelon-diced.jpg","current"
"CVG5KOUBWW1S","cut_vegetable",,,"Beans","Cluster","500","gm",,,,,,"Cut Vegetables",,,,"1",,,,,,,"Diced",,,,,"Fruits & Vegetables>Cut Vegetables",,"https://aaloo.in/images/DSC00950_yard%20long%20beans%20diced_resized.jpg","hidden"
"CVGCOT8WLP9O","cut_vegetable",,,"Sweet Corn",,"500","gm",,,,,,"Cut Vegetables",,,,"1",,,,,,,"Pellets",,,"30","30","Fruits & Vegetables>Cut Vegetables",,"http://www.carpzoom.com/images/product/sweet_baby_corn_pellets11.png","current"
"VGTGXHSGJJVY","vegetable",,,"Lady Finger (bhendi)",,"1","Kg",,,,,,"Other Vegetables",,,,"2",,,,,,,,,,"48","48","Fruits & Vegetables>Fresh Vegetables>Other Vegetables",,"http://www.organicgarden.co.in/images/uploads/products/05082533-3eed-4125-a216-988e856a9cd81.png","current"
"VGTIVS16GANF","vegetable",,,"Beetroot",,"1","Kg","(6 to 9 pcs)",,,,,"Root Vegetables",,,,"1",,,,,,,,,,"50","50","Fruits & Vegetables>Fresh Vegetables>Root Vegetables",,"http://theresekerr.com/wp-content/uploads/2013/01/97930176-copy.jpg","current"
"FJCEEOJ1MOW5","fruit",,,"Sweet Lime (mosambi)",,"1","Kg","(4 to 7 pcs)",,,,,"Orange & Sweet Lime",,,,"1",,,,,,,,,,"85","85","Fruits & Vegetables>Fresh Fruits>Orange & Sweet Lime",,"https://www.go4fresh.in/shop/mumbai/656-large_default/sweetlime-mosambi.jpg","current"
"VGT3OSJZPFBV","vegetable",,,"Bitter Gourd","Mini","500","gm",,,,,,"Other Vegetables",,,,"1",,,,,,,,,,"65","65","Fruits & Vegetables>Fresh Vegetables>Other Vegetables",,"https://mainmainmasakmasak.files.wordpress.com/2007/12/wallpaper_bittergourd.jpg","current"
"VGTAF7Y0A72C","vegetable",,,"Banana","Flower","1","pc","(250 to 450 gm)",,,,,"Other Vegetables",,,,"0",,,,,,,,,,"15","15","Fruits & Vegetables>Fresh Vegetables>Other Vegetables",,"http://bigbasket.com/media/uploads/p/l/10000339_10-fresho-banana-flower.jpg","current"
"FJCCT2H5MWMN","fruit",,,"Mango","Raw","1","Kg","(5 to 8 pcs)",,,,,"Mango",,,,"1",,,,,,,,,,"50","50","Fruits & Vegetables>Fresh Fruits>Mango",,"http://www.nandyala.org/mahanandi/images/rawmango/mamidikayaimagecopyrighted1.jpg","hidden"
"VGT4TVYRFJZL","vegetable",,,"Elephant Foot Yam (jimikand)",,"1","Kg",,,,,,"Root Vegetables",,,,"1",,,,,,,,,,"56","56","Fruits & Vegetables>Fresh Vegetables>Root Vegetables",,"http://pimg.tradeindia.com/00356085/b/2/Elephant-foot-yam.jpg","current"
"CVGVFA6HR504","cut_vegetable",,,"Radish",,"1","Kg",,,,,,"Cut Vegetables",,,,"2",,,,"White",,,"Diced",,,"52","52","Fruits & Vegetables>Cut Vegetables",,"http://flavorsofindiankitchen.com/wp-content/uploads/2012/07/White_radish_cut-300x225.jpg","current"
"VGTUJFVLI43C","vegetable",,,"Tomato","Premium","1","Kg","(10 to 16 pcs)",,,,,"Tomato",,,,"0",,,,,,,,,,"36","36","Fruits & Vegetables>Fresh Vegetables>Potato, Onion & Tomato",,"http://www.subzioncall.com/media/catalog/product/cache/1/image/600x600/9df78eab33525d08d6e5fb8d27136e95/p/r/premium2.jpg","current"
"VGTMDBHM0TFS","vegetable",,,"Turnip (shalajam)",,"250","gm",,,,,,"Root Vegetables",,,,"1",,,,,,,,,,"15","15","Fruits & Vegetables>Fresh Vegetables>Root Vegetables",,"http://natureathome-lb.com/sites/default/files/products/turnip.jpg","current"
"VGTDFQHZ2NR6","vegetable",,,"Cherry Tomato",,"250","gm",,,,,,"Exotic Vegetables",,,,"0",,,,"Red",,,,,,"40","40","Fruits & Vegetables>Fresh Vegetables>Exotic Vegetables",,"http://www.emergencyoutdoors.com/images/red-cherry-tomato-01-lg.jpg","current"
"CFROCFK1EERO","cut_fruit",,,"Muskmelon",,"250","gm",,,,,,"Cut Fruits",,,,"0",,,,,,,"Diced",,,"14","14","Fruits & Vegetables>Cut Fruits",,"http://bigbasket.com/media/uploads/p/l/40005854_6-fresho-muskmelon-diced.jpg","current"
"CFRQEAAY1B89","cut_fruit",,,"Pineapple",,"250","gm",,,,,,"Cut Fruits",,,,"0",,,,,,,"Sliced",,,,,"Fruits & Vegetables>Cut Fruits",,"http://www.treatt.com/images/articleImages/Pineapple.jpg","hidden"
"VGTCDWOZGNW9","vegetable",,,"Cabbage",,"750","gm",,,,,,"Other Vegetables",,,,"1",,,,"Green",,,,,,"18","18","Fruits & Vegetables>Fresh Vegetables>Other Vegetables",,"http://i1.ppfry.com/media/catalog/product/n/u/800x880/nurturing-green-cabbage-seeds-nurturing-green-cabbage-seeds-cizwrp.jpg","current"
