id,cluster_sub_cat_count,cluster_product_count,geo_product_count,geo_sub_cat_count,cluster_id,clusters_count
tdr1x5k,143,4397,8387,169,100005-100041,18
tdr1x5j,153,4955,8387,169,100034-100036,18
tdr1x5j,143,4397,8387,169,100005-100041,18
tdr1x5y,153,4955,8387,169,100034-100036,21
tdr1x5y,153,4658,8387,169,100005-100036,21
tdr1x5x,153,4955,8387,169,100034-100036,18
tdr1x5x,143,4397,8387,169,100005-100041,18
tdr1x5w,153,4955,8387,169,100034-100036,18
tdr1x5w,143,4397,8387,169,100005-100041,18
tdr1x5v,153,4955,8387,169,100034-100036,21
tdr1x5v,153,4658,8387,169,100005-100036,21
tdr1x5u,153,4955,8387,169,100034-100036,19
tdr1x5u,153,4658,8387,169,100005-100036,19
tdr1x5t,153,4955,8387,169,100034-100036,18
tdr1x5t,143,4397,8387,169,100005-100041,18
tdr1x7j,153,4955,7956,170,100034-100036,17
tdr1x7j,143,4397,7956,170,100005-100041,17
tdr1x7h,153,4955,7956,170,100034-100036,17
tdr1x7h,143,4397,7956,170,100005-100041,17
tdr1x7x,153,4955,7956,170,100034-100036,18
tdr1x7x,143,4397,7956,170,100005-100041,18
tdr1x7w,153,4955,7956,170,100034-100036,18
tdr1x7w,143,4397,7956,170,100005-100041,18
tdr1x7v,153,4955,7956,170,100034-100036,18
tdr1x7v,143,4397,7956,170,100005-100041,18
tdr1x7u,153,4955,7956,170,100034-100036,18
tdr1x7u,143,4397,7956,170,100005-100041,18
tdr1x7t,153,4955,7956,170,100034-100036,18
tdr1x7t,143,4397,7956,170,100005-100041,18
tdr1x7s,153,4955,7956,170,100034-100036,18
tdr1x7s,143,4397,7956,170,100005-100041,18
tdr1x7r,153,4955,7956,170,100034-100036,18
tdr1x7r,143,4397,7956,170,100005-100041,18
tdr1x84,146,4867,8412,172,100005-100038,24
tdr1x84,153,4658,8412,172,100005-100036,24
tdr1x83,146,4867,8412,172,100005-100038,26
tdr1x83,153,4658,8412,172,100005-100036,26
tdr1x82,146,4867,8412,172,100005-100038,25
tdr1x82,153,4658,8412,172,100005-100036,25
tdr1x81,146,4867,8412,172,100005-100038,26
tdr1x81,153,4658,8412,172,100005-100036,26
tdr1x80,146,4867,8412,172,100005-100038,24
tdr1x80,153,4658,8412,172,100005-100036,24
tdr1x7z,153,4955,7956,170,100034-100036,18
tdr1x7z,143,4397,7956,170,100005-100041,18
tdr1x7y,153,4955,7956,170,100034-100036,19
tdr1x7y,143,4397,7956,170,100005-100041,19
tdr1x8c,146,4867,8412,172,100005-100038,23
tdr1x8c,153,4658,8412,172,100005-100036,23
tdr1x8b,146,4867,8412,172,100005-100038,23
tdr1x8b,153,4658,8412,172,100005-100036,23
